epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.993983,0.114376,1.889404,0.492200,0.00016667
2,2.540548,0.335637,1.594361,0.568200,0.00033333
3,2.471461,0.348084,1.689726,0.553600,0.00050000
4,2.381270,0.359175,1.515257,0.585600,0.00049987
5,2.297095,0.375422,1.441949,0.604600,0.00049948
6,2.200246,0.393292,1.374809,0.618600,0.00049882
7,2.193953,0.406206,1.389819,0.612800,0.00049791
8,2.082873,0.416252,1.335935,0.629600,0.00049673
9,2.026534,0.427832,1.279742,0.652600,0.00049529
10,1.992993,0.438811,1.281536,0.642400,0.00049360
11,1.942547,0.443479,1.252588,0.659000,0.00049166
12,1.917233,0.447768,1.237421,0.647200,0.00048945
13,1.893423,0.450391,1.208936,0.664200,0.00048700
14,1.869816,0.458237,1.218379,0.665800,0.00048430
15,1.851062,0.473795,1.146761,0.678200,0.00048136
16,1.780471,0.485575,1.177958,0.665000,0.00047817
17,1.740947,0.477218,1.169955,0.678600,0.00047474
18,1.785274,0.484775,1.130409,0.682600,0.00047107
19,1.741963,0.492065,1.113367,0.689000,0.00046718
20,1.682810,0.507490,1.087963,0.695200,0.00046305
21,1.705684,0.509002,1.089995,0.694600,0.00045871
22,1.661445,0.499711,1.117673,0.691400,0.00045414
23,1.703833,0.498466,1.130329,0.684600,0.00044936
24,1.598908,0.517136,1.099135,0.702600,0.00044437
25,1.601634,0.516092,1.110732,0.704400,0.00043918
26,1.638603,0.514136,1.071773,0.706000,0.00043379
27,1.584890,0.523426,1.073632,0.701400,0.00042820
28,1.544021,0.527672,1.022870,0.711200,0.00042243
29,1.574065,0.523026,1.030149,0.712200,0.00041648
30,1.517231,0.521182,1.031953,0.711800,0.00041035
31,1.503582,0.556010,1.069550,0.710000,0.00040406
32,1.522576,0.534806,1.004207,0.719600,0.00039760
33,1.479196,0.539363,1.016983,0.725000,0.00039099
34,1.472677,0.537318,1.016367,0.720800,0.00038423
35,1.408266,0.550298,1.093546,0.709600,0.00037733
36,1.456173,0.545897,1.023429,0.720400,0.00037030
37,1.454789,0.549475,0.990891,0.728000,0.00036314
38,1.379837,0.572146,1.024977,0.722600,0.00035586
39,1.386582,0.560944,1.009868,0.727600,0.00034847
40,1.363779,0.559655,1.078457,0.714600,0.00034098
41,1.384171,0.577836,1.022926,0.731200,0.00033339
42,1.286557,0.580348,1.013208,0.725800,0.00032571
43,1.350283,0.598484,1.015148,0.731600,0.00031796
44,1.319414,0.584837,0.978657,0.736000,0.00031013
45,1.320639,0.580059,1.008861,0.734800,0.00030224
46,1.254512,0.601307,0.984339,0.737600,0.00029430
47,1.308176,0.575036,0.959319,0.752000,0.00028631
48,1.238970,0.598284,0.953588,0.754600,0.00027828
49,1.256386,0.587993,0.949254,0.746200,0.00027022
50,1.196432,0.613909,0.963236,0.743400,0.00026214
51,1.219274,0.609886,0.995800,0.738200,0.00025405
52,1.212351,0.609931,0.975630,0.752600,0.00024595
53,1.227880,0.590172,0.901244,0.764200,0.00023786
54,1.198747,0.615932,0.945237,0.753800,0.00022978
55,1.175595,0.615176,0.942054,0.753400,0.00022172
56,1.140627,0.613465,0.944008,0.755200,0.00021369
57,1.126737,0.613442,0.917446,0.767400,0.00020570
58,1.114513,0.623022,0.950296,0.764800,0.00019776
59,1.101465,0.624667,0.904294,0.770800,0.00018987
60,1.130753,0.632401,0.938846,0.754600,0.00018204
61,1.098047,0.607375,0.926975,0.767800,0.00017429
62,1.117004,0.621933,0.926148,0.774800,0.00016661
63,1.109191,0.628556,0.919925,0.757400,0.00015902
64,1.059561,0.631090,0.910623,0.772600,0.00015153
65,1.054173,0.624489,0.879388,0.779000,0.00014414
66,1.112251,0.638758,0.910407,0.773400,0.00013686
67,1.065531,0.643248,0.901714,0.779400,0.00012970
68,1.005865,0.660317,0.901895,0.775000,0.00012267
69,1.011387,0.649449,0.887732,0.775200,0.00011577
70,1.009300,0.630579,0.911349,0.775000,0.00010901
71,0.983025,0.655850,0.905590,0.774600,0.00010240
72,0.965045,0.647849,0.890207,0.780200,0.00009594
73,0.967747,0.650827,0.882480,0.788400,0.00008965
74,0.961067,0.664407,0.866199,0.784600,0.00008352
75,1.020919,0.645359,0.882033,0.783000,0.00007757
76,0.980231,0.657650,0.864783,0.784600,0.00007180
77,0.941892,0.668119,0.872821,0.789200,0.00006621
78,0.957718,0.672142,0.856263,0.794400,0.00006082
79,0.929992,0.648137,0.855043,0.794200,0.00005563
80,0.959180,0.640469,0.864215,0.793600,0.00005064
81,0.888248,0.665118,0.832268,0.796400,0.00004586
82,0.927725,0.661651,0.841503,0.793800,0.00004129
83,0.949714,0.653272,0.866476,0.797000,0.00003695
84,0.904491,0.647515,0.839573,0.801000,0.00003282
85,0.901913,0.678387,0.857701,0.798000,0.00002893
86,0.891152,0.670008,0.849503,0.801200,0.00002526
87,0.903172,0.676965,0.834047,0.803000,0.00002183
88,0.864095,0.674475,0.852571,0.799600,0.00001864
89,0.815072,0.665696,0.834528,0.802400,0.00001570
90,0.885808,0.670164,0.824254,0.806200,0.00001300
91,0.895092,0.656761,0.848075,0.806600,0.00001055
92,0.884240,0.663029,0.785024,0.809800,0.00000834
93,0.867671,0.660695,0.815777,0.808400,0.00000640
94,0.873705,0.665296,0.829270,0.803800,0.00000471
95,0.878771,0.670252,0.830032,0.804600,0.00000327
96,0.861345,0.669697,0.826440,0.802400,0.00000209
97,0.875495,0.664118,0.819529,0.811800,0.00000118
98,0.877800,0.676854,0.804045,0.808600,0.00000052
99,0.859804,0.689767,0.839366,0.801800,0.00000013
100,0.855964,0.679988,0.796705,0.809200,0.00000000
